Прізвище,Ім'я,По батьковій,Стать,Дата народження,Посада,Місце проживання,Адрес проживання,Телефон,Email
Карпенко,Руслан,Альбертович,male,2000.6.14,Актор,провулок Рибальська балк,"провулок Рибальська балка, буд. 79, Зоринськ, 01357",380563514964,svitlana87@example.com
Бабиченко,Йосип,Яковович,male,1972.2.29,Бухгалтер,набережна Тепличний 2-,"набережна Тепличний 2-й, буд. 3, Бердянськ, 34962",380784912097,anton97@example.org
Тимчук,Аніта,Валеріївна,female,1949.9.14,Стиліст,набережна Аполона Скальковськог,"набережна Аполона Скальковського, буд. 005 кв. 4, Болград, 05087",380843370074,uhabelko@example.org
Їжак,Євген,Степанович,male,1969.1.12,Ветеринар,шосе Мелітопольськ,"шосе Мелітопольська, буд. 55, Керч, 03415",380801183889,svitlanaatamaniuk@example.org
Онищенко,Богодар,Макарович,male,1977.9.18,Дизайнер,площа Вишневи,"площа Вишневий, буд. 08 кв. 628, Рава-Руська, 09200",380687145430,snizhana02@example.com
Ейбоженко,Анастасія,Ігорівна,female,1974.5.13,Візажист,площа Першотравневий 2-,"площа Першотравневий 2-й, буд. 687 кв. 0, Васильків, 11198",380932074164,fishchak@example.com
Зайченко,Сергій,Арсенович,male,2003.9.12,Ходить в університет,узвіз Вапняне селищ,"узвіз Вапняне селище, буд. 583 кв. 3, Севастополь, 26518",380555572970,lukian62@example.org
Оробець,Ольга,Йосипівна,female,1980.11.25,Професор,провулок Промислови,"провулок Промисловий, буд. 77, Гола Пристань, 91132",380596853818,mariiaaleksandrenko@example.org
Данчук,Феофан,Борисович,male,1958.10.12,Маркетолог,проспект Олександра Кутузакі,"проспект Олександра Кутузакія, буд. 3 кв. 318, Скадовськ, 64624",380727555205,artymvalentyna@example.net
Атрощенко,Костянтин,Аврелійович,male,1979.8.1,Льотчик,шосе Хаджибейський 2-,"шосе Хаджибейський 2-й, буд. 285, Герца, 86046",380831014454,artiushenkosemen@example.net
Черненко,Соломія,Степанівна,female,1967.8.3,Піаніст,парк Ростовськ,"парк Ростовська, буд. 98 кв. 86, Підгайці, 57358",380500881964,sofiiaiurchyshyn@example.org
Туркало,Федір,Данилович,male,2007.10.17,Ходить до школи,набережна Джутови,"набережна Джутовий, буд. 2, Канів, 23526",380535681111,ieva45@example.org
Давиденко,Ірена,Федорівна,female,1938.8.20,Лікар,парк Лиманн,"парк Лиманна, буд. 0 кв. 51, Кобеляки, 58813",380618648895,hrechkopavlo@example.org
Джус,Кирило,Євгенійович,male,1981.4.15,Промисловець,вулиця Аеропортівський 3-,"вулиця Аеропортівський 3-й, буд. 016 кв. 41, Бахмач, 69136",380675216775,mariiaiaremko@example.net
Артеменко,Юстим,Ростиславович,male,1994.11.22,Провізор,узвіз Пішонівськ,"узвіз Пішонівська, буд. 819 кв. 8, Долина , 67264",380589206169,hkovalenko@example.net
Непорожній,Орися,Адамівна,female,1952.9.19,Біолог,сквер Молодіжн,"сквер Молодіжна, буд. 8, Ківерці, 64978",380926635358,yvanchenko@example.net
Іщенко,Борислав,Максимович,male,1990.9.6,Професор,провулок 13-та Суворовськ,"провулок 13-та Суворовська, буд. 16 кв. 6, Кам'янка (Черкаська область), 35990",380851988485,mykolaihavrylyshyn@example.net
Аврамчук,Юстина,Георгіївна,female,1974.5.1,Маркетолог,проспект Аеропортівський 6-,"проспект Аеропортівський 6-й, буд. 083 кв. 91, Городня, 94210",380576585566,tperepelytsia@example.org
Тимчук,Станіслав,Ігорович,male,1990.4.2,Гицель,провулок Мелітопольськ,"провулок Мелітопольська, буд. 9, Горохів, 17844",380816071788,borys58@example.com
